cell id, time, volume, plasmid_bfp, bfp, 
0, 0.02, 1.57012, 188.72, 0, 
1, 0.02, 1.57002, 188.72, 0, 
2, 0.02, 1.57, 190.38, 0, 
3, 0.02, 1.57003, 199.66, 0, 
4, 0.02, 1.57005, 203.87, 0, 
5, 0.02, 1.57001, 203.87, 0, 
6, 0.02, 1.57002, 276.63, 0, 
7, 0.02, 1.57001, 139.295, 0, 
8, 0.02, 1.57004, 161.76, 0, 
9, 0.02, 1.57007, 277.21, 0, 
0, 5.02, 1.91906, 188.72, 110, 
1, 5.02, 1.91085, 188.72, 127, 
2, 5.02, 1.91154, 190.38, 133, 
3, 5.02, 1.91886, 199.66, 144, 
4, 5.02, 1.90959, 203.87, 143, 
5, 5.02, 1.92218, 203.87, 152, 
6, 5.02, 1.91562, 276.63, 210, 
7, 5.02, 1.91651, 139.295, 104, 
8, 5.02, 1.91084, 161.76, 99, 
9, 5.02, 1.92632, 277.21, 183, 
0, 10.02, 2.31931, 188.72, 256, 
1, 10.02, 2.3287, 188.72, 268, 
2, 10.02, 2.33838, 190.38, 308, 
3, 10.02, 2.35235, 199.66, 314, 
4, 10.02, 2.33787, 203.87, 305, 
5, 10.02, 2.34888, 203.87, 302, 
6, 10.02, 2.33969, 276.63, 435, 
7, 10.02, 2.355, 139.295, 219, 
8, 10.02, 2.3196, 161.76, 243, 
9, 10.02, 2.34664, 277.21, 423, 
0, 15.02, 2.8519, 188.72, 441, 
1, 15.02, 2.85268, 188.72, 456, 
2, 15.02, 2.85635, 190.38, 489, 
3, 15.02, 2.86988, 199.66, 499, 
4, 15.02, 2.85661, 203.87, 497, 
5, 15.02, 2.85513, 203.87, 486, 
6, 15.02, 2.85349, 276.63, 655, 
7, 15.02, 2.86353, 139.295, 358, 
8, 15.02, 2.84303, 161.76, 379, 
9, 15.02, 2.88008, 277.21, 669, 
0, 20.02, 3.49028, 188.72, 637, 
1, 20.02, 3.48307, 188.72, 676, 
2, 20.02, 1.85279, 100.881, 368, 
3, 20.02, 3.50436, 199.66, 732, 
4, 20.02, 3.49523, 203.87, 703, 
5, 20.02, 3.46124, 203.87, 726, 
6, 20.02, 1.64989, 130.984, 425, 
7, 20.02, 3.50328, 139.295, 521, 
8, 20.02, 1.86286, 86.8207, 293, 
9, 20.02, 1.64838, 129.675, 439, 
10, 20.02, 1.83722, 145.646, 483, 
11, 20.02, 1.87794, 147.535, 498, 
12, 20.02, 1.64121, 89.4994, 325, 
13, 20.02, 1.60787, 74.9393, 256, 
0, 25.02, 2.02535, 89.3314, 350, 
1, 25.02, 2.20186, 97.8995, 434, 
2, 25.02, 2.26172, 100.881, 433, 
3, 25.02, 1.96839, 92.1666, 394, 
4, 25.02, 2.20461, 105.578, 452, 
5, 25.02, 2.19943, 105.768, 453, 
6, 25.02, 2.01391, 130.984, 509, 
7, 25.02, 2.18734, 71.2094, 360, 
8, 25.02, 2.27866, 86.8207, 346, 
9, 25.02, 2.00619, 129.675, 498, 
10, 25.02, 2.24833, 145.646, 561, 
11, 25.02, 2.28985, 147.535, 608, 
12, 25.02, 2.00646, 89.4994, 382, 
13, 25.02, 1.95771, 74.9393, 305, 
14, 25.02, 2.04824, 90.8205, 366, 
15, 25.02, 2.24647, 99.3886, 409, 
16, 25.02, 2.03949, 98.1025, 412, 
17, 25.02, 2.30627, 107.493, 493, 
18, 25.02, 2.05035, 98.2916, 422, 
19, 25.02, 2.09088, 68.0856, 343, 
0, 30.02, 2.48199, 89.3314, 411, 
1, 30.02, 2.68739, 97.8995, 503, 
2, 30.02, 2.75804, 100.881, 494, 
3, 30.02, 2.4022, 92.1666, 455, 
4, 30.02, 2.68873, 105.578, 535, 
5, 30.02, 2.67657, 105.768, 535, 
6, 30.02, 2.46146, 130.984, 601, 
7, 30.02, 2.67495, 71.2094, 407, 
8, 30.02, 2.77781, 86.8207, 432, 
9, 30.02, 2.43827, 129.675, 589, 
10, 30.02, 2.7376, 145.646, 661, 
11, 30.02, 2.80218, 147.535, 714, 
12, 30.02, 2.44786, 89.4994, 448, 
13, 30.02, 2.39001, 74.9393, 342, 
14, 30.02, 2.50069, 90.8205, 431, 
15, 30.02, 2.7347, 99.3886, 479, 
16, 30.02, 2.49475, 98.1025, 484, 
17, 30.02, 2.81363, 107.493, 566, 
18, 30.02, 2.49586, 98.2916, 484, 
19, 30.02, 2.55796, 68.0856, 383, 
0, 35.02, 3.03025, 89.3314, 477, 
1, 35.02, 3.27285, 97.8995, 589, 
2, 35.02, 3.3689, 100.881, 592, 
3, 35.02, 2.9337, 92.1666, 516, 
4, 35.02, 3.27769, 105.578, 637, 
5, 35.02, 3.27079, 105.768, 622, 
6, 35.02, 3.01373, 130.984, 720, 
7, 35.02, 3.25335, 71.2094, 482, 
8, 35.02, 3.39396, 86.8207, 529, 
9, 35.02, 2.96922, 129.675, 687, 
10, 35.02, 3.34203, 145.646, 788, 
11, 35.02, 3.40207, 147.535, 843, 
12, 35.02, 2.97981, 89.4994, 516, 
13, 35.02, 2.9366, 74.9393, 401, 
14, 35.02, 3.06166, 90.8205, 507, 
15, 35.02, 3.33128, 99.3886, 551, 
16, 35.02, 3.04416, 98.1025, 578, 
17, 35.02, 1.65909, 52.0107, 310, 
18, 35.02, 3.05333, 98.2916, 582, 
19, 35.02, 3.12281, 68.0856, 440, 
20, 35.02, 1.77029, 55.4827, 337, 
0, 40.02, 2.02717, 49.0041, 297, 
1, 40.02, 1.99254, 48.6354, 315, 
2, 40.02, 2.04625, 50.2128, 320, 
3, 40.02, 1.80763, 46.3052, 305, 
4, 40.02, 1.82543, 48.0695, 347, 
5, 40.02, 3.98448, 105.768, 772, 
6, 40.02, 1.81616, 64.3178, 410, 
7, 40.02, 3.99036, 71.2094, 565, 
8, 40.02, 4.15279, 86.8207, 624, 
9, 40.02, 3.62718, 129.675, 797, 
10, 40.02, 4.08672, 145.646, 953, 
11, 40.02, 2.22486, 79.0544, 517, 
12, 40.02, 1.92519, 47.4956, 307, 
13, 40.02, 3.59586, 74.9393, 488, 
14, 40.02, 3.72781, 90.8205, 610, 
15, 40.02, 2.07608, 50.6187, 313, 
16, 40.02, 2.04358, 53.8173, 340, 
17, 40.02, 2.0308, 52.0107, 328, 
18, 40.02, 3.72589, 98.2916, 677, 
19, 40.02, 1.84568, 33.0207, 240, 
20, 40.02, 2.16454, 55.4827, 369, 
21, 40.02, 2.06773, 50.6679, 310, 
22, 40.02, 1.99303, 48.7699, 298, 
23, 40.02, 1.93305, 68.4802, 422, 
24, 40.02, 2.01557, 49.2641, 321, 
25, 40.02, 1.67709, 44.2852, 281, 
26, 40.02, 1.7034, 42.0038, 271, 
27, 40.02, 1.96222, 35.0648, 254, 
28, 40.02, 1.87863, 66.6664, 419, 
29, 40.02, 1.7903, 45.8614, 302, 
30, 40.02, 1.66898, 40.3273, 246, 
31, 40.02, 2.18122, 57.5089, 416, 
0, 45.02, 2.48816, 49.0041, 329, 
1, 45.02, 2.43657, 48.6354, 349, 
2, 45.02, 2.48786, 50.2128, 364, 
3, 45.02, 2.20574, 46.3052, 321, 
4, 45.02, 2.22831, 48.0695, 362, 
5, 45.02, 2.26031, 48.8471, 390, 
6, 45.02, 2.23539, 64.3178, 427, 
7, 45.02, 2.33685, 34.128, 295, 
8, 45.02, 2.58413, 44.27, 356, 
9, 45.02, 2.01923, 59.0954, 410, 
10, 45.02, 2.6653, 77.817, 573, 
11, 45.02, 2.70919, 79.0544, 575, 
12, 45.02, 2.3482, 47.4956, 335, 
13, 45.02, 2.00166, 34.2549, 242, 
14, 45.02, 2.15009, 42.724, 325, 
15, 45.02, 2.52892, 50.6187, 344, 
16, 45.02, 2.49168, 53.8173, 368, 
17, 45.02, 2.47351, 52.0107, 366, 
18, 45.02, 2.13474, 46.4248, 341, 
19, 45.02, 2.26234, 33.0207, 256, 
20, 45.02, 2.6391, 55.4827, 402, 
21, 45.02, 2.53256, 50.6679, 343, 
22, 45.02, 2.43869, 48.7699, 331, 
23, 45.02, 2.34903, 68.4802, 452, 
24, 45.02, 2.46812, 49.2641, 345, 
25, 45.02, 2.04748, 44.2852, 309, 
26, 45.02, 2.08209, 42.0038, 284, 
27, 45.02, 2.39971, 35.0648, 280, 
28, 45.02, 2.29015, 66.6664, 455, 
29, 45.02, 2.18316, 45.8614, 325, 
30, 45.02, 2.03527, 40.3273, 267, 
31, 45.02, 2.66166, 57.5089, 458, 
32, 45.02, 2.54758, 37.0814, 323, 
33, 45.02, 2.61148, 56.9204, 449, 
34, 45.02, 2.32545, 67.8288, 487, 
