cell id, time, volume, plasmid_bfp, plasmid_yfp, plasmid_rfp, bfp, yfp, rfp, 
0, 0.02, 1.57005, 129.885, 129.885, 129.885, 0, 0, 0, 
1, 0.02, 1.57004, 244.43, 244.43, 244.43, 0, 0, 0, 
2, 0.02, 1.57005, 276.63, 276.63, 276.63, 0, 0, 0, 
3, 0.02, 1.5701, 224.41, 224.41, 224.41, 0, 0, 0, 
4, 0.02, 1.57005, 199.66, 199.66, 199.66, 0, 0, 0, 
5, 0.02, 1.57009, 162.885, 162.885, 162.885, 0, 0, 0, 
6, 0.02, 1.57, 161.76, 161.76, 161.76, 0, 0, 0, 
7, 0.02, 1.57022, 145.545, 145.545, 145.545, 0, 0, 0, 
8, 0.02, 1.57001, 146.92, 146.92, 146.92, 0, 0, 0, 
9, 0.02, 1.57002, 218.57, 218.57, 218.57, 0, 0, 0, 
0, 5.02, 1.91561, 129.885, 129.885, 129.885, 78, 90, 74, 
1, 5.02, 1.91788, 244.43, 244.43, 244.43, 182, 174, 164, 
2, 5.02, 1.91717, 276.63, 276.63, 276.63, 187, 188, 204, 
3, 5.02, 1.92299, 224.41, 224.41, 224.41, 156, 166, 142, 
4, 5.02, 1.91987, 199.66, 199.66, 199.66, 143, 146, 144, 
5, 5.02, 1.91737, 162.885, 162.885, 162.885, 99, 108, 104, 
6, 5.02, 1.91759, 161.76, 161.76, 161.76, 116, 94, 114, 
7, 5.02, 1.91909, 145.545, 145.545, 145.545, 98, 87, 91, 
8, 5.02, 1.9128, 146.92, 146.92, 146.92, 105, 103, 100, 
9, 5.02, 1.90845, 218.57, 218.57, 218.57, 146, 140, 146, 
0, 10.02, 2.33597, 129.885, 129.885, 129.885, 166, 204, 173, 
1, 10.02, 2.33803, 244.43, 244.43, 244.43, 392, 348, 358, 
2, 10.02, 2.33511, 276.63, 276.63, 276.63, 421, 419, 428, 
3, 10.02, 2.3502, 224.41, 224.41, 224.41, 347, 322, 304, 
4, 10.02, 2.34753, 199.66, 199.66, 199.66, 291, 314, 315, 
5, 10.02, 2.34236, 162.885, 162.885, 162.885, 206, 226, 223, 
6, 10.02, 2.34949, 161.76, 161.76, 161.76, 228, 224, 254, 
7, 10.02, 2.34643, 145.545, 145.545, 145.545, 206, 207, 199, 
8, 10.02, 2.33626, 146.92, 146.92, 146.92, 207, 230, 206, 
9, 10.02, 2.33514, 218.57, 218.57, 218.57, 323, 318, 333, 
0, 15.02, 2.85227, 129.885, 129.885, 129.885, 281, 316, 281, 
1, 15.02, 2.8447, 244.43, 244.43, 244.43, 619, 560, 609, 
2, 15.02, 2.87183, 276.63, 276.63, 276.63, 671, 672, 721, 
3, 15.02, 2.86985, 224.41, 224.41, 224.41, 563, 550, 507, 
4, 15.02, 2.86315, 199.66, 199.66, 199.66, 472, 515, 503, 
5, 15.02, 2.86279, 162.885, 162.885, 162.885, 352, 396, 369, 
6, 15.02, 2.87936, 161.76, 161.76, 161.76, 367, 357, 421, 
7, 15.02, 2.87205, 145.545, 145.545, 145.545, 362, 342, 314, 
8, 15.02, 2.86144, 146.92, 146.92, 146.92, 348, 366, 341, 
9, 15.02, 2.84579, 218.57, 218.57, 218.57, 533, 527, 540, 
0, 20.02, 3.48991, 129.885, 129.885, 129.885, 430, 444, 427, 
1, 20.02, 1.82372, 128.805, 128.805, 128.805, 441, 418, 436, 
2, 20.02, 1.82096, 143.629, 143.629, 143.629, 503, 496, 544, 
3, 20.02, 3.49039, 224.41, 224.41, 224.41, 803, 823, 746, 
4, 20.02, 1.65968, 94.9755, 94.9755, 94.9755, 327, 357, 333, 
5, 20.02, 3.48976, 162.885, 162.885, 162.885, 558, 614, 568, 
6, 20.02, 3.52659, 161.76, 161.76, 161.76, 514, 556, 595, 
7, 20.02, 3.51223, 145.545, 145.545, 145.545, 523, 521, 480, 
8, 20.02, 3.48233, 146.92, 146.92, 146.92, 518, 524, 511, 
9, 20.02, 3.48646, 218.57, 218.57, 218.57, 761, 771, 819, 
10, 20.02, 1.6319, 115.625, 115.625, 115.625, 397, 369, 395, 
11, 20.02, 1.6879, 133.001, 133.001, 133.001, 464, 460, 503, 
12, 20.02, 1.83159, 104.684, 104.684, 104.684, 362, 395, 372, 
0, 25.02, 4.24999, 129.885, 129.885, 129.885, 595, 642, 629, 
1, 25.02, 2.2218, 128.805, 128.805, 128.805, 526, 503, 522, 
2, 25.02, 2.21663, 143.629, 143.629, 143.629, 582, 565, 627, 
3, 25.02, 2.33505, 122.762, 122.762, 122.762, 585, 608, 569, 
4, 25.02, 2.02102, 94.9755, 94.9755, 94.9755, 389, 412, 380, 
5, 25.02, 2.21359, 84.696, 84.696, 84.696, 359, 386, 382, 
6, 25.02, 1.95564, 73.4926, 73.4926, 73.4926, 281, 307, 305, 
7, 25.02, 1.9569, 66.6104, 66.6104, 66.6104, 292, 284, 275, 
8, 25.02, 1.93499, 66.9092, 66.9092, 66.9092, 279, 269, 258, 
9, 25.02, 2.07465, 106.644, 106.644, 106.644, 449, 453, 480, 
10, 25.02, 1.98564, 115.625, 115.625, 115.625, 449, 416, 453, 
11, 25.02, 2.05317, 133.001, 133.001, 133.001, 554, 525, 584, 
12, 25.02, 2.24028, 104.684, 104.684, 104.684, 416, 440, 434, 
13, 25.02, 2.31507, 80.0108, 80.0108, 80.0108, 339, 343, 343, 
14, 25.02, 2.35181, 88.2674, 88.2674, 88.2674, 344, 389, 404, 
15, 25.02, 2.34621, 78.9346, 78.9346, 78.9346, 348, 335, 323, 
16, 25.02, 2.17983, 111.926, 111.926, 111.926, 474, 504, 517, 
17, 25.02, 2.04088, 78.189, 78.189, 78.189, 340, 368, 337, 
18, 25.02, 1.92924, 101.648, 101.648, 101.648, 480, 493, 464, 
0, 30.02, 2.69877, 67.5229, 67.5229, 67.5229, 340, 374, 376, 
1, 30.02, 2.71419, 128.805, 128.805, 128.805, 625, 592, 634, 
2, 30.02, 2.70146, 143.629, 143.629, 143.629, 674, 660, 734, 
3, 30.02, 2.83909, 122.762, 122.762, 122.762, 679, 695, 663, 
4, 30.02, 2.46703, 94.9755, 94.9755, 94.9755, 431, 471, 446, 
5, 30.02, 2.70068, 84.696, 84.696, 84.696, 422, 433, 435, 
6, 30.02, 2.38582, 73.4926, 73.4926, 73.4926, 327, 360, 382, 
7, 30.02, 2.37399, 66.6104, 66.6104, 66.6104, 331, 332, 321, 
8, 30.02, 2.35125, 66.9092, 66.9092, 66.9092, 300, 315, 295, 
9, 30.02, 2.54617, 106.644, 106.644, 106.644, 519, 534, 544, 
10, 30.02, 2.41569, 115.625, 115.625, 115.625, 526, 479, 524, 
11, 30.02, 2.50995, 133.001, 133.001, 133.001, 656, 613, 662, 
12, 30.02, 2.74203, 104.684, 104.684, 104.684, 502, 536, 524, 
13, 30.02, 2.83148, 80.0108, 80.0108, 80.0108, 402, 414, 419, 
14, 30.02, 2.87901, 88.2674, 88.2674, 88.2674, 429, 455, 489, 
15, 30.02, 2.87283, 78.9346, 78.9346, 78.9346, 413, 390, 390, 
16, 30.02, 2.6606, 111.926, 111.926, 111.926, 554, 604, 621, 
17, 30.02, 2.49619, 78.189, 78.189, 78.189, 387, 409, 384, 
18, 30.02, 2.36543, 101.648, 101.648, 101.648, 543, 553, 543, 
19, 30.02, 2.49015, 62.3621, 62.3621, 62.3621, 325, 348, 350, 
0, 35.02, 3.29498, 67.5229, 67.5229, 67.5229, 397, 439, 445, 
1, 35.02, 3.31405, 128.805, 128.805, 128.805, 761, 733, 744, 
2, 35.02, 3.28834, 143.629, 143.629, 143.629, 820, 799, 878, 
3, 35.02, 3.46632, 122.762, 122.762, 122.762, 788, 804, 790, 
4, 35.02, 3.01794, 94.9755, 94.9755, 94.9755, 512, 555, 519, 
5, 35.02, 3.28993, 84.696, 84.696, 84.696, 497, 495, 508, 
6, 35.02, 2.9017, 73.4926, 73.4926, 73.4926, 394, 425, 431, 
7, 35.02, 2.90392, 66.6104, 66.6104, 66.6104, 376, 390, 374, 
8, 35.02, 2.86724, 66.9092, 66.9092, 66.9092, 367, 361, 343, 
9, 35.02, 3.09706, 106.644, 106.644, 106.644, 616, 624, 645, 
10, 35.02, 2.96805, 115.625, 115.625, 115.625, 624, 588, 619, 
11, 35.02, 3.06248, 133.001, 133.001, 133.001, 778, 717, 782, 
12, 35.02, 3.34758, 104.684, 104.684, 104.684, 583, 628, 615, 
13, 35.02, 3.45491, 80.0108, 80.0108, 80.0108, 465, 499, 498, 
14, 35.02, 3.52469, 88.2674, 88.2674, 88.2674, 519, 546, 556, 
15, 35.02, 3.51224, 78.9346, 78.9346, 78.9346, 512, 462, 455, 
16, 35.02, 3.24849, 111.926, 111.926, 111.926, 672, 695, 728, 
17, 35.02, 3.04558, 78.189, 78.189, 78.189, 462, 460, 449, 
18, 35.02, 2.86956, 101.648, 101.648, 101.648, 636, 633, 619, 
19, 35.02, 3.03434, 62.3621, 62.3621, 62.3621, 379, 381, 386, 
0, 40.02, 2.00706, 33.5341, 33.5341, 33.5341, 202, 229, 236, 
1, 40.02, 1.89642, 60.0433, 60.0433, 60.0433, 404, 384, 391, 
2, 40.02, 2.12557, 75.8894, 75.8894, 75.8894, 490, 471, 522, 
3, 40.02, 2.21777, 64.2134, 64.2134, 64.2134, 451, 452, 451, 
4, 40.02, 1.89887, 48.8643, 48.8643, 48.8643, 302, 311, 306, 
5, 40.02, 1.92494, 40.7583, 40.7583, 40.7583, 257, 250, 265, 
6, 40.02, 3.54796, 73.4926, 73.4926, 73.4926, 454, 499, 508, 
7, 40.02, 3.53178, 66.6104, 66.6104, 66.6104, 440, 450, 442, 
8, 40.02, 1.91902, 36.6823, 36.6823, 36.6823, 217, 223, 220, 
9, 40.02, 3.79203, 106.644, 106.644, 106.644, 740, 711, 764, 
10, 40.02, 3.62079, 115.625, 115.625, 115.625, 754, 702, 750, 
11, 40.02, 3.73685, 133.001, 133.001, 133.001, 918, 873, 934, 
12, 40.02, 2.03946, 52.0666, 52.0666, 52.0666, 308, 337, 335, 
13, 40.02, 4.22093, 80.0108, 80.0108, 80.0108, 569, 568, 612, 
14, 40.02, 2.22416, 45.6458, 45.6458, 45.6458, 301, 322, 315, 
15, 40.02, 2.22303, 41.0258, 41.0258, 41.0258, 302, 290, 294, 
16, 40.02, 1.78359, 50.4792, 50.4792, 50.4792, 324, 347, 360, 
17, 40.02, 1.78665, 37.5088, 37.5088, 37.5088, 254, 252, 256, 
18, 40.02, 1.87067, 54.0604, 54.0604, 54.0604, 371, 369, 355, 
19, 40.02, 1.77534, 29.7808, 29.7808, 29.7808, 202, 205, 210, 
20, 40.02, 2.02674, 58.5491, 58.5491, 58.5491, 407, 415, 404, 
21, 40.02, 2.02643, 33.9888, 33.9888, 33.9888, 215, 242, 238, 
22, 40.02, 2.06152, 52.6179, 52.6179, 52.6179, 337, 350, 347, 
23, 40.02, 1.64729, 47.5871, 47.5871, 47.5871, 314, 317, 312, 
24, 40.02, 2.08597, 43.9378, 43.9378, 43.9378, 285, 272, 281, 
25, 40.02, 1.89207, 67.7394, 67.7394, 67.7394, 433, 406, 462, 
26, 40.02, 2.08015, 42.6217, 42.6217, 42.6217, 281, 302, 285, 
27, 40.02, 2.16158, 61.4471, 61.4471, 61.4471, 412, 437, 446, 
28, 40.02, 2.1622, 68.7613, 68.7613, 68.7613, 456, 457, 447, 
29, 40.02, 1.79458, 46.1112, 46.1112, 46.1112, 286, 298, 289, 
30, 40.02, 2.05396, 37.9088, 37.9088, 37.9088, 277, 265, 269, 
31, 40.02, 1.94244, 32.5813, 32.5813, 32.5813, 219, 223, 229, 
32, 40.02, 1.58222, 30.227, 30.227, 30.227, 185, 190, 185, 
33, 40.02, 1.93807, 40.6802, 40.6802, 40.6802, 273, 279, 283, 
0, 45.02, 2.44956, 33.5341, 33.5341, 33.5341, 223, 234, 253, 
1, 45.02, 2.33427, 60.0433, 60.0433, 60.0433, 432, 414, 402, 
2, 45.02, 2.58496, 75.8894, 75.8894, 75.8894, 539, 527, 577, 
3, 45.02, 2.7022, 64.2134, 64.2134, 64.2134, 491, 470, 491, 
4, 45.02, 2.3267, 48.8643, 48.8643, 48.8643, 340, 338, 334, 
5, 45.02, 2.34896, 40.7583, 40.7583, 40.7583, 270, 278, 280, 
6, 45.02, 1.99292, 33.785, 33.785, 33.785, 221, 240, 253, 
7, 45.02, 2.05509, 31.6874, 31.6874, 31.6874, 237, 255, 246, 
8, 45.02, 2.34784, 36.6823, 36.6823, 36.6823, 228, 249, 247, 
9, 45.02, 2.13195, 49.1664, 49.1664, 49.1664, 384, 369, 387, 
10, 45.02, 2.13511, 56.0487, 56.0487, 56.0487, 403, 367, 392, 
11, 45.02, 2.1647, 62.9527, 62.9527, 62.9527, 464, 451, 482, 
12, 45.02, 2.47498, 52.0666, 52.0666, 52.0666, 344, 356, 361, 
13, 45.02, 2.83392, 43.9966, 43.9966, 43.9966, 358, 371, 379, 
14, 45.02, 2.70517, 45.6458, 45.6458, 45.6458, 335, 344, 343, 
15, 45.02, 2.70234, 41.0258, 41.0258, 41.0258, 319, 317, 315, 
16, 45.02, 2.18214, 50.4792, 50.4792, 50.4792, 351, 385, 382, 
17, 45.02, 2.18738, 37.5088, 37.5088, 37.5088, 275, 270, 270, 
18, 45.02, 2.29369, 54.0604, 54.0604, 54.0604, 397, 394, 385, 
19, 45.02, 2.16372, 29.7808, 29.7808, 29.7808, 214, 219, 227, 
20, 45.02, 2.47071, 58.5491, 58.5491, 58.5491, 424, 448, 445, 
21, 45.02, 2.47107, 33.9888, 33.9888, 33.9888, 234, 264, 261, 
22, 45.02, 2.5115, 52.6179, 52.6179, 52.6179, 351, 383, 376, 
23, 45.02, 2.02272, 47.5871, 47.5871, 47.5871, 338, 339, 335, 
24, 45.02, 2.54287, 43.9378, 43.9378, 43.9378, 309, 300, 303, 
25, 45.02, 2.30752, 67.7394, 67.7394, 67.7394, 465, 442, 497, 
26, 45.02, 2.53884, 42.6217, 42.6217, 42.6217, 299, 335, 310, 
27, 45.02, 2.63965, 61.4471, 61.4471, 61.4471, 436, 489, 466, 
