cell id, time, volume, plasmid_bfp, plasmid_yfp, plasmid_rfp, bfp, yfp, rfp, 
0, 0.02, 1.57012, 201.63, 191.13, 255.87, 0, 0, 0, 
1, 0.02, 1.57003, 227.625, 276.63, 161.515, 0, 0, 0, 
2, 0.02, 1.57008, 190.38, 204.295, 244.43, 0, 0, 0, 
3, 0.02, 1.57016, 277.21, 128.88, 161.515, 0, 0, 0, 
4, 0.02, 1.57003, 199.66, 146.92, 244.43, 1, 0, 0, 
5, 0.02, 1.57, 190.38, 190.195, 146.92, 0, 0, 0, 
6, 0.02, 1.57008, 128.88, 190.38, 204.295, 0, 0, 0, 
7, 0.02, 1.57015, 161.76, 218.57, 162.885, 0, 0, 0, 
8, 0.02, 1.57002, 191.13, 255.03, 190.38, 0, 0, 0, 
9, 0.02, 1.57002, 190.38, 203.87, 203.87, 0, 0, 0, 
0, 5.02, 1.91376, 201.63, 191.13, 255.87, 136, 115, 158, 
1, 5.02, 1.91708, 227.625, 276.63, 161.515, 130, 182, 120, 
2, 5.02, 1.91816, 190.38, 204.295, 244.43, 124, 132, 190, 
3, 5.02, 1.9197, 277.21, 128.88, 161.515, 203, 86, 101, 
4, 5.02, 1.92397, 199.66, 146.92, 244.43, 140, 106, 149, 
5, 5.02, 1.9234, 190.38, 190.195, 146.92, 114, 160, 102, 
6, 5.02, 1.92098, 128.88, 190.38, 204.295, 83, 120, 133, 
7, 5.02, 1.91952, 161.76, 218.57, 162.885, 132, 138, 112, 
8, 5.02, 1.91566, 191.13, 255.03, 190.38, 120, 141, 135, 
9, 5.02, 1.91285, 190.38, 203.87, 203.87, 131, 153, 129, 
0, 10.02, 2.34111, 201.63, 191.13, 255.87, 311, 254, 351, 
1, 10.02, 2.34482, 227.625, 276.63, 161.515, 329, 410, 266, 
2, 10.02, 2.34988, 190.38, 204.295, 244.43, 262, 289, 397, 
3, 10.02, 2.3478, 277.21, 128.88, 161.515, 426, 188, 216, 
4, 10.02, 2.34388, 199.66, 146.92, 244.43, 296, 229, 355, 
5, 10.02, 2.3508, 190.38, 190.195, 146.92, 278, 305, 235, 
6, 10.02, 2.35051, 128.88, 190.38, 204.295, 181, 274, 285, 
7, 10.02, 2.34733, 161.76, 218.57, 162.885, 242, 311, 238, 
8, 10.02, 2.34479, 191.13, 255.03, 190.38, 270, 354, 275, 
9, 10.02, 2.34071, 190.38, 203.87, 203.87, 289, 300, 292, 
0, 15.02, 2.87315, 201.63, 191.13, 255.87, 505, 442, 593, 
1, 15.02, 2.85724, 227.625, 276.63, 161.515, 560, 667, 434, 
2, 15.02, 2.88075, 190.38, 204.295, 244.43, 436, 500, 619, 
3, 15.02, 2.86891, 277.21, 128.88, 161.515, 691, 307, 374, 
4, 15.02, 2.86288, 199.66, 146.92, 244.43, 475, 390, 589, 
5, 15.02, 2.88072, 190.38, 190.195, 146.92, 473, 488, 353, 
6, 15.02, 2.85606, 128.88, 190.38, 204.295, 289, 465, 469, 
7, 15.02, 2.86136, 161.76, 218.57, 162.885, 383, 537, 387, 
8, 15.02, 2.85402, 191.13, 255.03, 190.38, 467, 587, 456, 
9, 15.02, 2.86875, 190.38, 203.87, 203.87, 451, 481, 459, 
0, 20.02, 3.50783, 201.63, 191.13, 255.87, 714, 675, 871, 
1, 20.02, 1.72518, 112.524, 136.749, 79.8429, 389, 447, 283, 
2, 20.02, 1.78091, 96.0922, 103.116, 123.373, 318, 364, 447, 
3, 20.02, 3.50695, 277.21, 128.88, 161.515, 993, 441, 557, 
4, 20.02, 3.50314, 199.66, 146.92, 244.43, 682, 547, 874, 
5, 20.02, 3.51361, 190.38, 190.195, 146.92, 688, 715, 510, 
6, 20.02, 3.49017, 128.88, 190.38, 204.295, 458, 658, 680, 
7, 20.02, 3.49707, 161.76, 218.57, 162.885, 539, 800, 589, 
