cell id, time, volume, dox, bfp, repressor, rfp, plasmid_constitutive, plasmid_repressor, plasmid_output 
0, 0.02, 1.57008, 0.1, 0,0, 0, 200, 200, 200, 
0, 5.025, 1.92479, 0.1, 167,18, 1, 200, 200, 200, 
0, 10.03, 2.36439, 0.1, 366,35, 1, 200, 200, 200, 
0, 15.035, 2.91949, 0.1, 585,60, 2, 200, 200, 200, 
0, 20.04, 3.56119, 0.1, 866,91, 3, 200, 200, 200, 
0, 25.045, 2.25898, 0.1, 583,61, 3, 105, 105, 105, 
0, 30.05, 2.7741, 0.1, 679,68, 3, 105, 105, 105, 
0, 35.055, 3.34558, 0.1, 782,79, 3, 105, 105, 105, 
0, 40.06, 2.25125, 0.1, 493,50, 2, 57, 57, 57, 
0, 45.065, 2.73414, 0.1, 529,53, 2, 57, 57, 57, 
0, 50.07, 1.80851, 0.1, 315,30, 1, 30, 30, 30, 
0, 55.075, 2.20368, 0.1, 335,30, 1, 30, 30, 30, 
0, 60.08, 2.67947, 0.1, 351,32, 1, 30, 30, 30, 
0, 65.085, 3.27914, 0.1, 397,34, 1, 30, 30, 30, 
0, 70.09, 1.86722, 0.1, 202,17, 0, 14, 14, 14, 
0, 75.095, 2.28408, 0.1, 210,14, 0, 14, 14, 14, 
0, 80.1, 2.80892, 0.1, 217,16, 0, 14, 14, 14, 
0, 85.105, 3.43309, 0.1, 230,16, 0, 14, 14, 14, 
0, 90.11, 2.14573, 0.1, 120,9, 0, 7, 7, 7, 
0, 95.115, 2.6175, 0.1, 121,10, 0, 7, 7, 7, 
0, 100.12, 3.20215, 0.1, 126,11, 0, 7, 7, 7, 
0, 105.125, 2.01815, 0.1, 66,5, 0, 3, 3, 3, 
0, 110.13, 2.49375, 0.1, 65,5, 0, 3, 3, 3, 
0, 115.135, 3.0271, 0.1, 70,5, 0, 3, 3, 3, 
0, 120.14, 3.69913, 0.1, 78,6, 0, 3, 3, 3, 
0, 125.145, 2.10066, 0.1, 35,2, 0, 1, 1, 1, 
0, 130.15, 2.54828, 0.1, 35,2, 0, 1, 1, 1, 
0, 135.155, 3.08546, 0.1, 34,2, 0, 1, 1, 1, 
0, 140.16, 1.80377, 0.1, 16,0, 0, 0, 0, 0, 
0, 145.165, 2.19673, 0.1, 16,0, 0, 0, 0, 0, 
0, 150.17, 2.72316, 0.1, 15,0, 0, 0, 0, 0, 
0, 155.175, 3.30104, 0.1, 15,0, 0, 0, 0, 0, 
0, 160.18, 1.91471, 0.1, 7,0, 0, 0, 0, 0, 
0, 165.185, 2.31899, 0.1, 6,0, 0, 0, 0, 0, 
0, 170.19, 2.83628, 0.1, 6,0, 0, 0, 0, 0, 
0, 175.195, 3.44211, 0.1, 6,0, 0, 0, 0, 0, 
0, 180.2, 2.08132, 0.1, 3,0, 0, 0, 0, 0, 
0, 185.205, 2.53956, 0.1, 3,0, 0, 0, 0, 0, 
0, 190.21, 3.10252, 0.1, 3,0, 0, 0, 0, 0, 
0, 195.215, 2.03953, 0.1, 1,0, 0, 0, 0, 0, 
0, 200.22, 2.48338, 0.1, 1,0, 0, 0, 0, 0, 
0, 205.225, 3.03254, 0.1, 1,0, 0, 0, 0, 0, 
0, 210.23, 3.72941, 0.1, 1,0, 0, 0, 0, 0, 
